team_name,team_nickname,team_abbrev,elo_basic,elo_raptor_regular_season,elo_raptor_playoffs,wins,losses,conference
Los_Angeles_Lakers,Lakers,LAL,1678,1710,1780,49,14,western
Los_Angeles_Clippers,Clippers,LAC,1636,1732,1790,44,20,western
Milwaukee_Bucks,Bucks,MIL,1716,1694,1750,53,12,eastern
Philadelphia_76ers,76ers,PHI,1564,1691,1754,39,26,eastern
